C1	C2	C3	C4
0	159	1	1.59
10	87	1	0.87
20	35	1	0.35
30	6	1	0.06
40	3	1	0.03
50	28	1	0.28
60	76	1	0.76
70	142	1	1.42
80	219	1	2.19
90	296	1	2.96
100	366	1	3.66
110	417	1	4.17
120	444	1	4.44
130	446	1	4.46
140	420	1	4.2
150	375	1	3.75
160	307	1	3.07
170	236	1	2.36
180	159	1	1.59
122	447	1	4.47
124	448	1	4.48
126	448	1	4.48
128	447	1	4.47
32	3	1	0.03
34	2	1	0.02
36	1	1	0.01
38	2	1	0.02
			0
			0
			0
			0
			0
